Mean: -57.44124617961546	min: -118.38611393387804	max: 21.00731830725594
Mean: -57.237642881464446	min: -118.80782598920248	max: 18.387192484364068
Mean: -55.303438476768896	min: -118.47112832116667	max: 19.744914020906023
Mean: -61.20203304603186	min: -118.81228620656395	max: 16.32307833192572
Mean: -57.69236726891929	min: -118.9626890889984	max: 19.73701828885186
Mean: -74.75280173505237	min: -119.12069107476958	max: 25.50925000721846
Mean: -71.79959009514171	min: -119.143273605429	max: 22.144936747962408
Mean: -73.194354579486	min: -120.11986529166707	max: 19.011135411433436
Mean: -71.04752753550291	min: -122.61957316830299	max: 18.050205433349035
Mean: -70.91679195026602	min: -120.74366192535665	max: 12.761630149207727
Mean: -73.00766773821688	min: -119.4879162198704	max: 16.745731393565098
Mean: -64.9953214381931	min: -116.52149849924173	max: 20.618860219543393
Mean: -72.43709850338713	min: -120.05392855932044	max: 17.8210612076705
Mean: -65.72146097996469	min: -121.71419322062499	max: 15.19183946238714
Mean: -62.230254675025414	min: -113.94891264595786	max: 19.29153169644044
Mean: -66.12924637665667	min: -120.0571914365063	max: 19.040212163094807
Mean: -71.92408468748637	min: -121.45372500354053	max: 19.60200904576959
Mean: -71.91003419490352	min: -121.52085228063663	max: 14.947534589054502
Mean: -61.436334701390635	min: -118.05788000319674	max: 21.72556681655197
Mean: -62.958074628657045	min: -120.16008249062978	max: 25.315258718688614
Mean: -69.76968539458356	min: -120.6516257960248	max: 12.059077554610157
Mean: -76.08446751602838	min: -119.64575533010787	max: 18.777364013512305
Mean: -65.22022741088769	min: -120.4890830072201	max: 16.629137782616105
Mean: -59.567545052928466	min: -118.3749905581614	max: 16.246545179840975
Mean: -51.923937938396136	min: -115.95696882608952	max: 16.35818307703492
Mean: -49.82843122207369	min: -116.37147967980007	max: 17.085675699374196
Mean: -63.141025303235345	min: -121.37469956650379	max: 17.962394384872805
Mean: -54.75863448526639	min: -116.36722183860192	max: 17.749766173954978
Mean: -48.52246909690107	min: -118.11247902088526	max: 16.361728956377355
Mean: -55.01860692878252	min: -118.17244532020852	max: 17.546380575367916
Mean: -54.52765276663004	min: -125.77622767736324	max: 15.299714238441851
Mean: -60.25668263275019	min: -119.27503370282406	max: 15.696022202484018
Mean: -51.87569609241059	min: -123.32311445660707	max: 16.716845631097186
Mean: -47.75212572549821	min: -116.06004677268277	max: 17.0826331212746
Mean: -53.95767014524985	min: -122.61160989336575	max: 16.63458158801461
Mean: -58.040859837200166	min: -118.8774744418223	max: 14.950984502021337
Mean: -60.81748482839023	min: -116.40735918237047	max: 15.017491090610022
Mean: -47.58019384456034	min: -124.4594998211239	max: 14.972405728856272
Mean: -51.46848583179756	min: -118.24978890004846	max: 15.882353951938155
Mean: -66.60925991912448	min: -116.86202907474008	max: 16.555268701717825
Mean: -58.335977662491295	min: -122.20320904263691	max: 18.576592508210613
Mean: -58.26845435822915	min: -118.59095461862903	max: 19.41136686134468
Mean: -58.24622813371379	min: -117.06347947899414	max: 19.056075016774844
Mean: -56.30147916531828	min: -121.00661921344309	max: 19.11014098886967
Mean: -57.51744177692046	min: -118.37111411607538	max: 17.906140526301808
Mean: -52.005631238586474	min: -118.98783082561741	max: 17.40048749232343
Mean: -59.35190526602198	min: -119.70923386784052	max: 19.936986950364773
Mean: -46.23045705079029	min: -119.96464333660144	max: 19.440895505443653
Mean: -60.76456305194445	min: -120.3753384639219	max: 17.844660609121544
Mean: -43.3867081117421	min: -119.50792778146159	max: 19.588892179824363
Mean: -57.00483608362009	min: -114.7880281064347	max: 19.383707276195405
Mean: -65.15132926591207	min: -115.84035243360387	max: 18.37819038967089
Mean: -60.27108804004516	min: -118.0064768730949	max: 20.14888884134449
Mean: -61.53703994293651	min: -119.99734905508018	max: 18.930195883034095
Mean: -65.60839886388337	min: -122.36254167475632	max: 17.84249620017784
Mean: -74.75681200287111	min: -118.18909237551476	max: 18.878836245519828
Mean: -67.8072714069404	min: -118.20324140729764	max: 18.574201997638692
Mean: -65.1992671537158	min: -123.7408799745782	max: 18.314794665198008
Mean: -56.23028933494352	min: -118.73897863784916	max: 18.731390951309994
Mean: -62.09856605456503	min: -118.34687122646429	max: 19.8570656178816
Mean: -63.95537567944185	min: -120.43165985271673	max: 19.590867634888998
Mean: -47.36223874145331	min: -118.7659466882164	max: 18.967734316080755
Mean: -53.572375947531825	min: -123.61467701505617	max: 19.843407915098524
Mean: -53.98513329363144	min: -115.34313411336403	max: 18.852268954301373
Mean: -43.60022807519424	min: -114.1476147132003	max: 19.46207808951223
Mean: -62.84482637113794	min: -118.35380351205995	max: 19.46053114372844
Mean: -64.55248397052956	min: -121.90636174838049	max: 19.572431194728487
Mean: -62.7544705250035	min: -123.9931982283286	max: 19.239040277684094
Mean: -67.68386112537439	min: -122.97179657110637	max: 19.531293797267054
Mean: -57.39274671078031	min: -124.06625226265746	max: 19.3673392810824
Mean: -56.79970294807693	min: -118.78313971561245	max: 19.3709968000255
Mean: -55.49476850205323	min: -121.36088781633694	max: 19.425773689335088
Mean: -54.85775590931	min: -116.59546522106393	max: 19.745531537767924
Mean: -51.38381373073925	min: -114.16012786962054	max: 18.43974927287991
Mean: -62.174433181370034	min: -119.80543350934795	max: 19.4687436001011
Mean: -59.45845808751102	min: -119.07126886576098	max: 19.657274153455855
Mean: -54.724422474319425	min: -118.96562381460011	max: 19.68434319457658
Mean: -56.87038672874336	min: -124.11411551093553	max: 18.300406870274685
Mean: -57.08880783385722	min: -119.1598820384558	max: 18.253981783594753
Mean: -62.05045435579581	min: -120.03623186228586	max: 19.401281692784213
Mean: -57.91732481457793	min: -116.39011624370002	max: 19.818911111470246
Mean: -60.53511456079584	min: -112.78491090036678	max: 19.680452256074247
Mean: -55.437720540760466	min: -114.83890613443991	max: 20.029582841342048
Mean: -56.01342026595134	min: -116.80615088061536	max: 19.951720365735156
Mean: -62.74520103095031	min: -120.49538105827374	max: 18.98266769694499
Mean: -55.629957831030644	min: -116.76605046507643	max: 20.667604768888697
Mean: -54.71564398758152	min: -117.6563736935264	max: 17.75280286733256
Mean: -49.25922510668686	min: -122.5085432877287	max: 19.5988838687177
Mean: -55.57763533638721	min: -121.21786113393833	max: 19.57136537017549
Mean: -53.55982528861511	min: -120.65116031200834	max: 18.550814718580444
Mean: -53.44668382127272	min: -118.29041068929556	max: 19.86884084796281
Mean: -64.94684969094645	min: -113.8833899259237	max: 19.777853277472044
Mean: -58.87543324461109	min: -114.84321245744185	max: 19.834455559373204
Mean: -55.93453980516314	min: -113.63521791115781	max: 19.801850150809173
Mean: -62.593700066382816	min: -120.23547856750065	max: 19.404574638763084
Mean: -51.27659692115346	min: -120.80382986408283	max: 19.783304293872604
Mean: -54.41867809618252	min: -121.45977427767926	max: 19.627436153814923
Mean: -56.499712094048434	min: -123.26721872788283	max: 18.228579970316694
Mean: -47.03153818664467	min: -119.20269746272629	max: 20.06614994352075
Mean: -60.2708224599463	min: -121.05629246300728	max: 20.33623515278039
Mean: -65.42906873004718	min: -116.3825364501634	max: 19.635736284905462
Mean: -60.7291158284212	min: -120.56100826485536	max: 19.51170060094839
Mean: -42.74264711536098	min: -120.61242501593	max: 19.489701540880816
Mean: -56.10907666254927	min: -120.5775102988325	max: 19.144272646732233
Mean: -51.621040348616745	min: -120.28132197592473	max: 19.71181429913258
Mean: -54.98996277299608	min: -120.46616369712535	max: 19.231454759235746
Mean: -61.74701753146434	min: -116.00180260583414	max: 19.44198510471164
Mean: -60.34602684121913	min: -117.37564175103664	max: 19.86506488972949
Mean: -53.37416373236143	min: -115.67749640451288	max: 19.181516514473962
Mean: -63.38055623223441	min: -125.42877226156122	max: 19.935587203516324
Mean: -51.80805409879277	min: -120.4968129130213	max: 19.692771308834562
Mean: -51.49958287100855	min: -116.93722536836705	max: 18.353089437109336
Mean: -52.06042314189418	min: -120.91636285426196	max: 17.912425412160015
Mean: -50.308093629067365	min: -114.17483461421148	max: 19.788493151075503
Mean: -61.68410413979041	min: -126.42160291481196	max: 19.823750172702958
Mean: -57.699797043348234	min: -116.75994898696831	max: 18.890326898143698
Mean: -60.801830410517574	min: -118.82577059078318	max: 19.332961333747996
Mean: -69.64078494580613	min: -123.84361337280554	max: 19.453023519083693
Mean: -63.988523696034264	min: -126.63258152519583	max: 20.524776834633972
Mean: -62.9646646579367	min: -119.85886860232004	max: 19.257396646595346
Mean: -60.122742608830094	min: -121.54147649190173	max: 17.893332025608544
Mean: -62.25969841936351	min: -121.63722840804796	max: 19.134520500543246
Mean: -59.689033746373326	min: -120.95763086725538	max: 17.854184220437478
Mean: -59.92604763266175	min: -117.19087267876458	max: 17.167506402710643
Mean: -63.47551882102812	min: -118.50628207480645	max: 16.059474530521054
Mean: -67.99531831181362	min: -119.01707965125628	max: 19.088830191210846
Mean: -59.004543062524014	min: -113.33411949784654	max: 19.61658765253
Mean: -54.02035424636363	min: -119.37889845619172	max: 18.398806307283436
Mean: -49.62768078997848	min: -121.21603184308532	max: 19.22933638732702
Mean: -56.635763810069946	min: -114.17874522146653	max: 20.10685611848094
Mean: -50.980274916006465	min: -118.93959123464775	max: 20.305136072326405
Mean: -58.3021938507551	min: -121.55269668940173	max: 19.109157934268946
Mean: -66.33150033199169	min: -123.48371144538334	max: 19.927443707761114
Mean: -61.886240353353166	min: -120.68002897822791	max: 19.50601873531973
Mean: -61.444295624721015	min: -120.58925507558243	max: 20.009716559638083
Mean: -44.78706744821079	min: -114.0838303113784	max: 18.498015740780602
Mean: -50.59650480463074	min: -119.94556437122236	max: 19.740829178188573
Mean: -50.997095827393196	min: -119.83985060788896	max: 18.469093761024435
Mean: -47.30267011808151	min: -120.70899498453407	max: 19.48492916581309
Mean: -57.14149276318445	min: -117.60703029056666	max: 17.81592912004808
Mean: -49.854219147070346	min: -119.84738921762715	max: 19.470662379702684
Mean: -75.02685786721987	min: -121.13207663643787	max: 23.311759795421775
Mean: -62.08716033571527	min: -122.2563534560492	max: 19.530969437574715
Mean: -46.4746892991719	min: -120.91829443779557	max: 18.960255463465906
Mean: -55.523143623958546	min: -116.17127918956612	max: 19.336489115942857
Mean: -52.34567528214693	min: -124.28983435229557	max: 19.175954113356326
Mean: -61.991636352206804	min: -118.30000749398083	max: 17.7213291346638
Mean: -50.1871615300598	min: -116.80590913070958	max: 18.864429854648314
Mean: -53.46306393635671	min: -119.17035368093032	max: 17.887483584621187
Mean: -62.621822173795124	min: -120.07271260467877	max: 17.771570085825736
Mean: -62.474965672348915	min: -118.46369059040762	max: 20.34090244088204
Mean: -37.230861379406335	min: -127.24089787413531	max: 17.351142647664876
Mean: -51.85921409850075	min: -124.46105053840735	max: 20.003192721438513
Mean: -41.89028645674089	min: -117.05459952311489	max: 18.976324762823545
Mean: -45.780277109796174	min: -122.10778750937081	max: 17.682237228141506
Mean: -58.949673644206975	min: -121.91838793893335	max: 19.12785852907777
Mean: -58.282572890203234	min: -126.32635583183782	max: 19.2238677005515
Mean: -60.48114151957544	min: -120.8360397159803	max: 17.819468288307256
Mean: -63.08031096149483	min: -120.41290489670908	max: 18.01510199088973
Mean: -55.90668131996144	min: -127.94494975737668	max: 18.205252332086044
Mean: -45.257363416504575	min: -122.16410678602132	max: 18.065835907470262
Mean: -50.118272138415676	min: -120.02315390034555	max: 18.79739804705748
Mean: -44.10073566314899	min: -117.98006855537932	max: 19.738585222239422
Mean: -65.17683746515713	min: -117.56585709249603	max: 19.259575223640827
Mean: -51.971318790502345	min: -117.98501469446012	max: 18.858270219392523
Mean: -58.86731188003418	min: -119.8906691749021	max: 19.973038864038298
Mean: -70.34099496964039	min: -122.93368982014988	max: 19.236641724874527
Mean: -52.62128357257473	min: -114.71433856094188	max: 17.59709660861124
Mean: -50.781454950970954	min: -122.65414650150889	max: 19.071279819635983
Mean: -58.555069045976325	min: -120.62521897923745	max: 17.810840638601455
Mean: -44.3218157786428	min: -124.8482344907954	max: 18.738878883950715
Mean: -56.70718138907644	min: -117.24150451214632	max: 18.20902163638928
Mean: -56.82686303565215	min: -121.81352073919089	max: 17.227555489891984
Mean: -53.93888064664192	min: -119.63281522208396	max: 18.80547033131638
Mean: -58.131665496352625	min: -123.385609310466	max: 19.650187378677153
Mean: -63.74449875882302	min: -120.36790975536594	max: 17.80438362366933
Mean: -54.42305369785914	min: -126.07065980690454	max: 18.101681132216022
Mean: -53.86096841653332	min: -117.44302443013908	max: 17.319204387166153
Mean: -58.988638485628854	min: -120.22614867904198	max: 17.622668509487056
Mean: -42.88078154665276	min: -119.79470255884554	max: 20.98076566149499
Mean: -60.918111056834825	min: -117.74314418748972	max: 19.444199565599515
Mean: -60.794772372443695	min: -118.97966945311131	max: 20.00822546580505
Mean: -53.37635310819665	min: -119.63266084222657	max: 19.33050577523265
Mean: -58.52151157473148	min: -118.38715129985475	max: 20.022984753740797
Mean: -48.149950048067794	min: -113.25655076900637	max: 14.328922984225164
Mean: -45.17696461746586	min: -115.60896458359402	max: 14.185981899180987
Mean: -46.992730492708205	min: -121.91795506735707	max: 14.148380909607699
Mean: -46.11709178440993	min: -119.94529838092303	max: 19.751617813096985
Mean: -56.088585063535966	min: -115.8051435361846	max: 20.510707692051774
Mean: -72.63946823332302	min: -114.12516344480497	max: 21.718761003241806
Mean: -70.14814569017014	min: -114.91396074464998	max: 27.327613180144404
Mean: -72.1197712236929	min: -116.42011249555128	max: 18.627878474933016
Mean: -74.2370456548378	min: -116.51884230770246	max: 22.453434685736386
Mean: -65.27432761451436	min: -118.80704568261936	max: 21.444640467291777
Mean: -63.31630826848773	min: -112.91670957440793	max: 21.09299394356382
Mean: -78.89806569796421	min: -118.57640710027827	max: 20.69661065468264
Mean: -74.20501610737142	min: -115.02794755207968	max: 20.715021584586232
Mean: -76.04724163977963	min: -128.3146261488804	max: 20.449933966181334
Mean: -77.81265232111512	min: -116.44159609269137	max: 21.156329683677242
Mean: -74.62423947404406	min: -116.6484228159946	max: 18.061979472392498
Mean: -77.81617668598624	min: -120.41663196977166	max: 25.12828180565525
Mean: -72.83245063128625	min: -121.43220629085516	max: 20.73854963906842
Mean: -68.59716322067543	min: -119.61354890585265	max: 21.07103492630828
Mean: -78.24397092257095	min: -112.91962813379934	max: 22.846395974281226
Mean: -76.59849496106455	min: -118.44058302939945	max: 20.80107665927077
Mean: -76.19530564208333	min: -114.61429649011916	max: 20.25188807124312
Mean: -73.2016586590726	min: -119.41754015880512	max: 19.731772500081593
Mean: -70.69820808475514	min: -117.04151178369798	max: 20.390977532383495
Mean: -77.17343828187606	min: -117.98036938600659	max: 20.55483150306326
Mean: -72.33925611636266	min: -115.11902067388964	max: 20.825988173978597
Mean: -71.63368649128203	min: -121.65788664431398	max: 21.08964749935927
Mean: -69.73685020244557	min: -115.94190347826715	max: 20.201399632315656
Mean: -69.9090936086231	min: -117.2475486249264	max: 21.02893688587436
Mean: -71.1795261719735	min: -118.3834433920602	max: 19.78564024349645
Mean: -62.49779941080508	min: -119.36624737689083	max: 20.47380575092585
Mean: -77.10837466418552	min: -118.76220894774917	max: 21.34935725423967
Mean: -64.73702653028306	min: -119.95491911709509	max: 19.955621771037066
Mean: -72.43113339536313	min: -120.14934242881881	max: 16.951468542684403
Mean: -67.73790131815943	min: -120.57670926974149	max: 21.94947912721956
Mean: -70.47122813155136	min: -117.13415381741436	max: 17.40403974276752
Mean: -74.00851860100227	min: -121.10070911506264	max: 19.52470026954451
Mean: -62.9064355748871	min: -123.0103226364631	max: 21.321821850739422
Mean: -70.18516323398822	min: -119.22431424564692	max: 21.29895399523269
Mean: -74.62209048377957	min: -119.94595292488094	max: 20.0093616605984
Mean: -64.10620860184278	min: -118.32869949431877	max: 20.530118236466986
Mean: -73.96569787152532	min: -122.49435439447336	max: 19.706926885298913
Mean: -66.30457163526731	min: -120.92750580626054	max: 19.827568239346064
Mean: -67.30427211486888	min: -116.00597280534694	max: 20.067864420568206
Mean: -70.64064243134023	min: -124.13067266597724	max: 19.53415025095144
Mean: -64.52747423435389	min: -120.27143037937253	max: 19.626888198635967
Mean: -70.85241830335976	min: -113.76544267453228	max: 20.598354733650627
Mean: -71.2107735067607	min: -122.79704099796956	max: 21.251502464333438
Mean: -61.74245918090442	min: -118.98158952709795	max: 20.45952921444394
Mean: -64.84499422743228	min: -114.02232128320051	max: 20.92228024942456
Mean: -73.08058696715806	min: -118.1401931018356	max: 17.42238575697408
Mean: -63.35697325733264	min: -116.73147448849505	max: 17.00606363351012
Mean: -63.37508619071838	min: -123.63788292790233	max: 19.962180800408095
Mean: -62.28760367906686	min: -115.07932522949966	max: 19.698512057775858
Mean: -61.11039692319469	min: -119.94835294840911	max: 20.306730713095348
Mean: -67.99140700637153	min: -120.66413133494993	max: 20.751871193852498
Mean: -72.64456240442456	min: -119.73875563425545	max: 20.588299999618737
Mean: -69.86011914849131	min: -118.98747409788349	max: 20.245802310553312
Mean: -68.1281223676994	min: -121.39291055277491	max: 16.133129807360632
Mean: -73.91796861294675	min: -118.59672426925083	max: 19.69376501630815
Mean: -69.52889124054187	min: -120.68868263307591	max: 23.244768653205774
Mean: -67.21478040682284	min: -119.9883364323953	max: 24.979387023468494
Mean: -64.11370075268098	min: -120.34770347336146	max: 24.538329982101796
Mean: -58.66587255534353	min: -121.94197302189093	max: 29.801771845341754
Mean: -62.001540885937075	min: -113.56147209045564	max: 28.897040051177925
