Mean: -52.574835948489465	min: -119.10034942151233	max: -3.972364445799962
Mean: -32.56867853949407	min: -120.56610078975186	max: -2.6120792988019765
Mean: -6.732548452993589	min: -112.14067630702208	max: 4.771845874763406
Mean: -2.102932845443489	min: -96.5934578427299	max: 4.612586026153354
Mean: -7.113400111989584	min: -114.82429501049273	max: 5.052467765287069
Mean: -10.048801972902488	min: -107.82731280257366	max: 5.258320700349219
Mean: -8.78031950761466	min: -114.60899558228378	max: 5.355154049061155
Mean: -3.5677870117903017	min: -107.71118046878465	max: 5.523713057605094
Mean: -3.562284396831053	min: -115.81636271695393	max: 6.6101015518012325
Mean: -3.2753196294130387	min: -110.96275340842628	max: 8.306989110278591
Mean: -10.47850251206027	min: -114.182953743719	max: 8.596574255410571
Mean: -2.6051844315578916	min: -111.6312816386907	max: 9.551218703474497
Mean: 1.6066047368940612	min: -99.07175614462238	max: 10.329254393634237
Mean: -2.441820037961816	min: -113.69664947547912	max: 10.234002320747075
Mean: -2.0987121259068413	min: -111.5682576883005	max: 10.45549544770722
Mean: 0.7056928005425165	min: -112.71686706302789	max: 10.324496576751852
Mean: 1.1425068302574808	min: -113.06339980387546	max: 10.284491121961162
Mean: -1.7957884443982177	min: -111.95562824722113	max: 10.013781634048465
Mean: -68.64955943164229	min: -120.22489783237626	max: -3.0453240631092324
Mean: -22.49133189093708	min: -118.85670285700697	max: -2.1281462952656973
Mean: -12.7877931942242	min: -118.3510836086659	max: -1.6417630874179334
Mean: -3.6084567350656074	min: -106.96059251336003	max: 3.5651345514460444
Mean: -39.000780491534876	min: -111.59993188450223	max: 3.891118678843774
Mean: -10.921466176756697	min: -104.29537726642516	max: 6.010651526705076
Mean: -13.08241460754567	min: -101.12459852886279	max: 6.106568673093568
Mean: -8.877583029879688	min: -112.676099881504	max: 5.959175929253543
Mean: 0.71130299107666	min: -111.506839477757	max: 8.241658336523626
Mean: 5.539637637501159	min: -13.240205767941902	max: 7.03509749260314
Mean: 4.512111619930102	min: -100.06308035885483	max: 7.883165021936017
Mean: 3.2777057879168296	min: -101.6426802262108	max: 7.217056380495447
Mean: 2.2374259172324904	min: -101.50120095746468	max: 7.95663172437125
Mean: 5.502115541815926	min: 3.7403923023653327	max: 8.347874465469685
Mean: -1.264421563347608	min: -115.02599499561585	max: 8.661513467394636
Mean: -4.470111873746764	min: -100.52882730840754	max: 8.545316895389705
Mean: 6.050628602302679	min: -94.30429871249733	max: 8.598199680272032
Mean: -6.3554567756782845	min: -101.72372815152444	max: 8.757526431675801
Mean: -68.96542187451115	min: -119.7100857291917	max: -6.80929013172451
Mean: -49.21400166578366	min: -119.45898733450286	max: -4.261157321800831
Mean: -13.149536111386551	min: -105.02737925277191	max: -4.157483668979485
Mean: -19.88028363974727	min: -105.13681558290118	max: -3.1514922551053104
Mean: -20.64177271749074	min: -106.87662314687547	max: 5.313842902142533
Mean: -23.09459658576574	min: -114.8529284860881	max: 6.980734558893377
Mean: -33.54610773490696	min: -118.22450824620671	max: 7.874974260502687
Mean: -4.197038704981168	min: -98.19658439507229	max: 7.919916309245702
Mean: -0.4943107404784666	min: -108.2728746980223	max: 8.029828802791842
Mean: 4.6046521722630125	min: -101.64587561019758	max: 7.973300334841491
Mean: 1.5201550153915364	min: -98.82147133927305	max: 8.091419394345984
Mean: 0.5674650007699441	min: -112.05621955900196	max: 8.107717323020113
Mean: 3.711665006619179	min: -94.84837812340058	max: 8.201208969726661
Mean: 4.739463074185438	min: -93.36405582824283	max: 8.14807765400209
Mean: 5.652391300011313	min: -113.29555415386498	max: 8.151166966961314
Mean: -0.5647621571021638	min: -113.581916694653	max: 8.27518598680192
Mean: -0.07519650524593217	min: -94.8121695999973	max: 8.159369937007996
Mean: 0.8790366258657732	min: -100.90914404188081	max: 8.222643693672225
Mean: 0.8431164523782664	min: -101.0351059428863	max: 8.283230866557384
Mean: 1.6681563652978557	min: -98.6308083512682	max: 8.246988376351082
Mean: 0.6785325193065457	min: -100.38800044564057	max: 8.571486676956319
Mean: 2.4667768496503157	min: -112.56598972307823	max: 8.218167009253165
Mean: 5.940154629388728	min: -97.56790329236631	max: 8.170578787243814
Mean: 3.536855706632329	min: -95.06112534561795	max: 8.308950285133868
Mean: 5.0158005927553635	min: -94.29143219824016	max: 8.208641660133063
Mean: 3.860052558125704	min: -96.04284654308503	max: 8.257150228518043
Mean: -0.2813449146827132	min: -98.36244520132846	max: 8.134783899677752
Mean: 6.525604659014258	min: -12.04079553404034	max: 8.194248689469958
Mean: 5.89216822833009	min: -91.80617207465176	max: 8.126568613721187
Mean: 6.7778254682035595	min: 3.7092059531513075	max: 8.233237328525039
Mean: 4.511184273140383	min: -100.35634204912479	max: 8.00203770929799
Mean: 1.443736208669427	min: -116.41263912585315	max: 8.2773432427478
Mean: 0.4756337644934278	min: -101.93524575729514	max: 8.151421837691412
Mean: 1.4023678551294472	min: -112.47793177822489	max: 8.086962899229306
Mean: -1.3157983039745247	min: -100.89140229236618	max: 8.218630042977408
Mean: 2.9787976966690737	min: -94.41235292620222	max: 8.171010001593638
Mean: 4.602018199694853	min: -101.68446404306488	max: 8.136319432947895
Mean: 3.514708858514167	min: -100.78197023606312	max: 8.177800974241864
Mean: 5.781227745300946	min: -93.00032605674222	max: 8.100117215358058
Mean: 2.605465502049949	min: -100.44992597159197	max: 9.678534467415151
Mean: -35.78738044938625	min: -101.01795186818501	max: 11.568333501815237
Mean: -22.00288994344429	min: -101.62706853916247	max: 9.580029782990497
Mean: -39.99033746709079	min: -112.85690556364413	max: 9.559790876408172
Mean: -19.96863675445728	min: -101.52313347539075	max: 9.772806437601472
Mean: -20.469948627928257	min: -108.36654675958792	max: 10.739485534980043
Mean: -11.799169610401743	min: -103.5917661960449	max: 10.67914816827059
Mean: -10.99404509742505	min: -105.59828256989087	max: 10.598703551716904
Mean: -3.6937976893611166	min: -103.5391125423044	max: 9.636713147580856
Mean: -11.82489515928515	min: -104.4800625939857	max: 8.768281346531914
Mean: -17.50143339301509	min: -102.06636587503756	max: 10.503987432713728
Mean: -9.029733022076549	min: -100.7576861293828	max: 10.54871229400421
Mean: -13.783801994744287	min: -116.78724113633099	max: 10.8581569805237
Mean: -12.733107973003628	min: -102.43283089617115	max: 10.536297400558892
Mean: -18.167342842105917	min: -116.32434701736366	max: 10.778699119948628
Mean: -21.484597336331024	min: -100.24177873216777	max: 10.624840398225505
Mean: -14.258958104015926	min: -107.62204417446524	max: 10.781469527939802
Mean: -15.107751095143279	min: -114.55200896233563	max: 9.851208498601949
Mean: -15.858154232579572	min: -115.19001919831399	max: 10.67586105833194
Mean: -18.20119746095951	min: -101.14052148710824	max: 10.636001411164262
Mean: -17.54070741163308	min: -105.81119950467996	max: 10.895939450468433
Mean: -16.901930897649773	min: -101.87339514209297	max: 10.655656988318789
Mean: -10.848713324421748	min: -117.08015682404832	max: 10.754246825482243
Mean: -15.02115958311643	min: -101.62930064126209	max: 11.209227815498593
Mean: -14.09051193278284	min: -116.44018616455287	max: 10.49766798354315
Mean: -19.933601533476345	min: -102.77568931833468	max: 9.173193927494449
Mean: -43.54935498511151	min: -113.88295846596417	max: 9.821169123773977
Mean: -53.73552961833486	min: -102.00303773113552	max: 9.92746825636045
Mean: -31.36714297406128	min: -114.53573888569392	max: 10.584281744769534
Mean: -31.494155381796205	min: -101.83447013408451	max: 10.625837601663358
Mean: -26.73003929874792	min: -101.752377041932	max: 10.792048536431912
Mean: -16.31074652018501	min: -100.46383056819248	max: 10.969935246988864
Mean: -11.81948472298452	min: -103.67693833175503	max: 10.83047881193884
Mean: -37.993084334803	min: -102.14070984998432	max: 10.156353031793747
Mean: -58.80874364664873	min: -101.89765863992575	max: 9.79897662664175
Mean: -50.72343840146148	min: -118.31596096025928	max: 10.310529813675114
Mean: -41.11592964298552	min: -101.6948729150566	max: 10.367716744604536
Mean: -35.49719746839044	min: -114.81654316726816	max: 10.637381181236103
Mean: -24.10800672231756	min: -98.7016452542236	max: 10.391393366125765
Mean: -34.00970124846107	min: -102.00154388644619	max: 9.904101993024572
Mean: -39.922957521787865	min: -98.22145911110253	max: 9.851697767841818
Mean: -40.222878732780025	min: -100.62923286621914	max: 9.745419992331335
Mean: -40.831723648786344	min: -102.6084717910113	max: 12.029985978108979
Mean: -46.537989662645906	min: -102.67514910447028	max: 11.235289434759878
Mean: -40.96855899699955	min: -101.1379752944851	max: 10.088284862547763
Mean: -30.154820531853552	min: -114.80627366052678	max: 12.809745581172372
Mean: -19.010883063054713	min: -109.55828176035115	max: 13.104758247786233
Mean: -25.552563979128166	min: -101.51670496818193	max: 13.157680574805823
Mean: -11.398258371718955	min: -113.88225205911299	max: 13.878618527579643
Mean: -5.332624711569761	min: -105.32491149808982	max: 13.623092745635438
Mean: -9.370664229729517	min: -102.10012707799487	max: 13.89215135243909
Mean: -17.99993865278963	min: -113.90113903250332	max: 14.152889197604374
Mean: -18.697038350741202	min: -100.87006839189594	max: 14.17994601178229
Mean: -11.65335701787488	min: -114.71865085920918	max: 14.069297922289083
Mean: -20.149840655150648	min: -107.12062609646982	max: 14.084265610699456
Mean: -17.546245429476254	min: -111.56441348771564	max: 13.79601815334573
Mean: -16.056725654409593	min: -115.03947239651022	max: 14.507147740686547
Mean: -21.98679870712548	min: -101.50825309022542	max: 14.785391517022013
Mean: -24.253034938186325	min: -101.29001671746622	max: 15.244350159366782
Mean: -52.558679723620244	min: -103.20353565452685	max: 14.551374927334496
Mean: -45.61254750007112	min: -98.14205726143966	max: 15.38476937330093
