Mean: -102.25355781571123	min: -120.22740086103789	max: 2.3311915842188835
Mean: -71.12464192377435	min: -119.05305360301645	max: 4.788717585396644
Mean: -21.73912297019932	min: -117.68461811303969	max: 5.335270522965751
Mean: -15.988243350868817	min: -119.2102044985282	max: 5.5328764478902
Mean: -28.800932425805886	min: -120.01958994774272	max: 5.994928076914731
Mean: -25.46207087826506	min: -119.00783120609242	max: 6.18484989084216
Mean: -24.03137493130763	min: -119.67870356546685	max: 6.680292346553856
Mean: -19.225423708609643	min: -120.02553245586094	max: 6.71728186469381
Mean: -20.548048586202984	min: -118.14799679662218	max: 6.885466396070247
Mean: -23.261156400788604	min: -118.68085949766969	max: 6.897206007488079
